prof_id,firstName,lastName,class,num_ratings,avg_quality,avg_difficulty,attendance_mandatory,is_online,would_take_again_pct
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,ANTH147,74,4.027,2.541,True,False,82.09
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,IDST124,9,3.111,2.333,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,ANTH582,3,4.667,3,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,ANTH272,6,2.667,3.667,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,ANTH442,3,4,2.667,True,False,66.67
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,ANTH690,1,5,3,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,ANTH102,5,4.2,1.6,False,False,80.0
VGVhY2hlci0yMDEyNjIy,Michele,Rivkin-Fish,ANTH443,1,5,2,False,False,100.0
VGVhY2hlci0yNzU3NTgw,Bradley,Hendricks,BUSI100,91,4.692,2.78,True,False,100.0
VGVhY2hlci0yNzU3NTgw,Bradley,Hendricks,MAC711,1,5,3,False,False,100.0
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS114,49,2.245,3.939,True,False,68.42
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS510,1,5,2,True,False,100.0
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHY115,4,3,4.25,True,False,66.67
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS115,15,2.6,3.867,True,False,45.45
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS118,13,3.692,4,True,False,61.54
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS117,3,3.667,3.667,False,False,
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS101,1,5,4,False,False,
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS104,1,4,4,False,False,
VGVhY2hlci02NTI4MDE=,Duane,Deardorff,PHYS25,1,2,3,False,False,
VGVhY2hlci0yNTkxODIx,Rosa,Li,PSYC180,34,3.471,2.706,True,False,86.36
VGVhY2hlci0yNTkxODIx,Rosa,Li,PSYC250,34,3,2.882,True,False,89.47
VGVhY2hlci0yNTkxODIx,Rosa,Li,PSCY180,15,3.333,2.733,True,False,83.33
VGVhY2hlci0yNTkxODIx,Rosa,Li,PSYCH180,2,4,3,True,False,50.0
VGVhY2hlci0yNTkxODIx,Rosa,Li,PSYC433,2,4.5,4,True,False,100.0
VGVhY2hlci0yNzk3NDI5,Joseph,Compton,MATH231H,6,1.167,5,True,False,
VGVhY2hlci0yNzk3NDI5,Joseph,Compton,MATH233,1,3,2,True,False,100.0
