prof_id,Instructor_Name,Subject,Catalog Number,num_ratings,avg_quality,avg_difficulty,attendance_mandatory,is_online,would_take_again_pct
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,ANTH,147,74,4.027,2.541,True,False,82.09
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,IDST,124,9,3.111,2.333,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,ANTH,582,3,4.667,3.0,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,ANTH,272,6,2.667,3.667,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,ANTH,442,3,4.0,2.667,True,False,66.67
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,ANTH,690,1,5.0,3.0,True,False,100.0
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,ANTH,102,5,4.2,1.6,False,False,80.0
VGVhY2hlci0yMDEyNjIy,Michele Rivkin-Fish,ANTH,443,1,5.0,2.0,False,False,100.0
VGVhY2hlci0yNzU3NTgw,Bradley Hendricks,BUSI,100,91,4.692,2.78,True,False,100.0
VGVhY2hlci0yNzU3NTgw,Bradley Hendricks,MAC,711,1,5.0,3.0,False,False,100.0
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,114,49,2.245,3.939,True,False,68.42
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,510,1,5.0,2.0,True,False,100.0
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHY,115,4,3.0,4.25,True,False,66.67
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,115,15,2.6,3.867,True,False,45.45
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,118,13,3.692,4.0,True,False,61.54
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,117,3,3.667,3.667,False,False,
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,101,1,5.0,4.0,False,False,
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,104,1,4.0,4.0,False,False,
VGVhY2hlci02NTI4MDE=,Duane Deardorff,PHYS,25,1,2.0,3.0,False,False,
VGVhY2hlci0yNTkxODIx,Rosa Li,PSYC,180,34,3.471,2.706,True,False,86.36
VGVhY2hlci0yNTkxODIx,Rosa Li,PSYC,250,34,3.0,2.882,True,False,89.47
VGVhY2hlci0yNTkxODIx,Rosa Li,PSCY,180,15,3.333,2.733,True,False,83.33
VGVhY2hlci0yNTkxODIx,Rosa Li,PSYCH,180,2,4.0,3.0,True,False,50.0
VGVhY2hlci0yNTkxODIx,Rosa Li,PSYC,433,2,4.5,4.0,True,False,100.0
VGVhY2hlci0yNzk3NDI5,Joseph Compton,MATH,231,6,1.167,5.0,True,False,
