Subject,Catalog Number,Same As,Class Section,Class Number,Description,Term,Hours,Meeting Dates,Schedule,Room,Instruction Type,Instructor,Available Seats,Subject_Filter,Instructor_Raw,Instructor_Normalized,CourseKey
AAAD,50,,1,12718,Fys Defining Blackness,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 03:30 PM-04:45 PM,Genome Sciences Bui-Rm 1373,In Person On Campus Learners,"Mosquera Muriel,Nadia",0,AAAD,"Mosquera Muriel,Nadia",Nadia Mosquera Muriel,AAAD
AAAD,51,,1,6446,Fys Masqs Of Blackness,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 09:30 AM-10:45 AM,Carolina Hall-Rm 0213,In Person On Campus Learners,"Regester,Charlene B.",0,AAAD,"Regester,Charlene B.",Charlene B Regester,AAAD
AAAD,53,,1,6447,Experiment Global Black Music,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Murphey Hall-Rm 0302,In Person On Campus Learners,"PIER,DAVID",0,AAAD,"PIER,DAVID",David Pier,AAAD
AAAD,89,,1,12719,Fys: Special Topics,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 11:00 AM-12:15 PM,Dey Hall-Rm 0412,In Person On Campus Learners,"Monroe,Alicia Lenis",0,AAAD,"Monroe,Alicia Lenis",Alicia Lenis Monroe,AAAD
AAAD,89,,2,13661,Fys: Special Topics,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 11:00 AM-12:15 PM,Graham Memorial-Rm 0213,In Person On Campus Learners,"Samuel,Petal KImberly",1,AAAD,"Samuel,Petal KImberly",Petal Kimberly Samuel,AAAD
AAAD,89,,3,13776,Fys: Special Topics,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 02:00 PM-03:15 PM,Phillips Hall-Rm 0222,In Person On Campus Learners,"Irakoze,Kevin",11,AAAD,"Irakoze,Kevin",Kevin Irakoze,AAAD
AAAD,101,,1,2761,Intro To Africa,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 01:25 PM-02:15 PM,Bingham Hall-Rm 3014,In Person On Campus Learners,"Birya,Raphael Kalu",9,AAAD,"Birya,Raphael Kalu",Raphael Kalu Birya,AAAD
AAAD,101,,3,2884,Intro To Africa,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 09:30 AM-10:45 AM,Sitterson Hall (inc-Rm SN011,In Person On Campus Learners,"PIER,DAVID",21,AAAD,"PIER,DAVID",David Pier,AAAD
AAAD,130,,1,2762,Intro Afri Amer & Diaspora Std,2026 Spring,3.0,01/07/2026 - 05/07/2026,MW 05:45 PM-07:00 PM,Bingham Hall-Rm 3006,In Person On Campus Learners,"Porter,Robert S.",20,AAAD,"Porter,Robert S.",Robert S Porter,AAAD
AAAD,130,,2,2782,Intro Afri Amer & Diaspora Std,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 03:30 PM-04:45 PM,Peabody Hall-Rm 2028,In Person On Campus Learners,"Monroe,Alicia Lenis",35,AAAD,"Monroe,Alicia Lenis",Alicia Lenis Monroe,AAAD
AAAD,130,,3,2783,Intro Afri Amer & Diaspora Std,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 02:00 PM-03:15 PM,Bingham Hall-Rm 3014,In Person On Campus Learners,"Berry,Maya Janeen",23,AAAD,"Berry,Maya Janeen",Maya Janeen Berry,AAAD
AAAD,188,,1,15529,Diaspora Foodways And Culture,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 05:00 PM-06:15 PM,Peabody Hall-Rm 3018,In Person On Campus Learners,"Monroe,Alicia Lenis",32,AAAD,"Monroe,Alicia Lenis",Alicia Lenis Monroe,AAAD
AAAD,201,,1,2764,African Literature,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 09:05 AM-09:55 AM,Wilson Hall-Rm 0128,In Person On Campus Learners,"Mwamzandi,Mohamed Yusuf",20,AAAD,"Mwamzandi,Mohamed Yusuf",Mohamed Yusuf Mwamzandi,AAAD
AAAD,202,,1,5110,Africa Through Film,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 12:20 PM-01:10 PM,Venable Hall-Rm G311,In Person On Campus Learners,"Alabi,Victor Temitope",5,AAAD,"Alabi,Victor Temitope",Victor Temitope Alabi,AAAD
AAAD,210,,1,13775,African Belief Systems,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 11:00 AM-12:15 PM,Stone Center-Rm 0210,In Person On Campus Learners,"Irakoze,Kevin",20,AAAD,"Irakoze,Kevin",Kevin Irakoze,AAAD
AAAD,239,,1,12721,Disaster Southern Black Histor,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 09:30 AM-10:45 AM,Bingham Hall-Rm 3006,In Person On Campus Learners,"JANKEN,KENNETH R",31,AAAD,"JANKEN,KENNETH R",Kenneth R Janken,AAAD
AAAD,250,,1,6449,Blacks In Film,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 03:30 PM-04:45 PM,Bingham Hall-Rm 1014,In Person On Campus Learners,"Regester,Charlene B.",22,AAAD,"Regester,Charlene B.",Charlene B Regester,AAAD
AAAD,258,,1,12723,Civil Rights,2026 Spring,3.0,01/07/2026 - 05/07/2026,T 07:30 PM-10:00 PM,Gardner Hall-Rm 0007,In Person On Campus Learners,"Porter,Robert S.",6,AAAD,"Porter,Robert S.",Robert S Porter,AAAD
AAAD,288,,1,12724,Global Black Popular Cultures,2026 Spring,3.0,01/07/2026 - 05/07/2026,MW 03:35 PM-04:50 PM,Woollen Gym-Rm 0301,In Person On Campus Learners,"Camara,Samba",17,AAAD,"Camara,Samba",Samba Camara,AAAD
AAAD,292,,1,15694,Perf & Social Change In Africa,2026 Spring,3.0,01/07/2026 - 05/07/2026,TH 05:00 PM-07:30 PM,Bingham Hall-Rm 1014,In Person On Campus Learners,"Garlock,Marie Alisa",11,AAAD,"Garlock,Marie Alisa",Marie Alisa Garlock,AAAD
AAAD,298,,1,6451,Blacks In British N. Amer,2026 Spring,3.0,01/07/2026 - 05/07/2026,MW 03:35 PM-04:50 PM,Stone Center-Rm 0210,In Person On Campus Learners,"Porter,Robert S.",11,AAAD,"Porter,Robert S.",Robert S Porter,AAAD
AAAD,315,,1,7336,Pol Protest & Conflict,2026 Spring,3.0,01/07/2026 - 05/07/2026,MW 03:35 PM-04:50 PM,Wilson Hall-Rm 0128,In Person On Campus Learners,"Alabi,Victor Temitope",34,AAAD,"Alabi,Victor Temitope",Victor Temitope Alabi,AAAD
AAAD,335,LING 335,1,12789,Structure Of Afri Amer English,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 02:00 PM-03:15 PM,Dey Hall-Rm 0304,In Person On Campus Learners,"TERRY,JULES M",4,AAAD,"TERRY,JULES M",Jules M Terry,AAAD
AAAD,340,,1,3070,Diaspora Art,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 03:30 PM-04:45 PM,Greenlaw Hall-Rm 0106,In Person On Campus Learners,"JORDAN,JOSEPH F",16,AAAD,"JORDAN,JOSEPH F",Joseph F Jordan,AAAD
AAAD,356,,1,12726,History Of Hip-Hop,2026 Spring,3.0,01/07/2026 - 05/07/2026,MW 05:05 PM-06:20 PM,Fetzer Hall-Rm 0104,In Person On Campus Learners,"Camara,Samba",15,AAAD,"Camara,Samba",Samba Camara,AAAD
AAAD,362,LTAM 362,1,12733,Black Latin American Politics,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 11:00 AM-12:15 PM,Venable Hall-Rm G311,In Person On Campus Learners,"Mosquera Muriel,Nadia",9,AAAD,"Mosquera Muriel,Nadia",Nadia Mosquera Muriel,AAAD
AAAD,388,,1,13660,Global Black Feminisms,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Stone Center-Rm 0210,In Person On Campus Learners,"Samuel,Petal KImberly",0,AAAD,"Samuel,Petal KImberly",Petal Kimberly Samuel,AAAD
AAAD,395,,1,18033,Research Seminar,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 08:00 AM-09:15 AM,Alumni Bldg-Rm 0308,In Person On Campus Learners,"JANKEN,KENNETH R",19,AAAD,"JANKEN,KENNETH R",Kenneth R Janken,AAAD
AAAD,403,,1,7338,Human Rights In Africa,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 09:30 AM-10:45 AM,Greenlaw Hall-Rm 0104,In Person On Campus Learners,"SAHLE,EUNICE N",13,AAAD,"SAHLE,EUNICE N",Eunice N Sahle,AAAD
AAAD,419,,1,12729,Pan-Africanism And Blk Intl,2026 Spring,3.0,01/07/2026 - 05/07/2026,MW 03:35 PM-04:50 PM,Dey Hall-Rm 0104,In Person On Campus Learners,"JORDAN,JOSEPH F",19,AAAD,"JORDAN,JOSEPH F",Joseph F Jordan,AAAD
AAAD,487,,1,2784,Intellectual Currents,2026 Spring,3.0,01/07/2026 - 05/07/2026,MW 03:35 PM-04:50 PM,Alumni Bldg-Rm 0207,In Person On Campus Learners,"Clegg,Claude Andrew",15,AAAD,"Clegg,Claude Andrew",Claude Andrew Clegg,AAAD
AAAD,492,PLAN 576,1,6608,Urbanism In The Global South,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 02:00 PM-03:15 PM,Dey Hall-Rm 0403,In Person On Campus Learners,"Hudani,Shakirah",0,AAAD,"Hudani,Shakirah",Shakirah Hudani,AAAD
AAAD,692H,,1,5197,Honors Research II,2026 Spring,3.0,01/07/2026 - 05/07/2026,W 02:30 PM-05:20 PM,"Global Education, F-Rm 3033",In Person On Campus Learners,"JOHNSON,ERICA",1,AAAD,"JOHNSON,ERICA",Erica Johnson,AAAD
AAAD,735,,1,12731,Black Southerners,2026 Spring,3.0,01/07/2026 - 05/07/2026,W 03:30 PM-06:00 PM,Hanes Art Center-Rm 0118,In Person On Campus Learners,"Brimmer,Brandi Clay",0,AAAD,"Brimmer,Brandi Clay",Brandi Clay Brimmer,AAAD
AAAD,740,,1,12732,Black Feminisms,2026 Spring,3.0,01/07/2026 - 05/07/2026,M 03:30 PM-06:00 PM,Greenlaw Hall-Rm 0106,In Person On Campus Learners,"Manigault-Bryant,LeRhonda S",7,AAAD,"Manigault-Bryant,LeRhonda S",Lerhonda S Manigault-Bryant,AAAD
AAAD,790,,1,13662,Black Feminist Ethnography,2026 Spring,3.0,01/07/2026 - 05/07/2026,T 03:30 PM-06:00 PM,Dey Hall-Rm 0301,In Person On Campus Learners,"Berry,Maya Janeen",2,AAAD,"Berry,Maya Janeen",Maya Janeen Berry,AAAD
AERO,102,,1,1390,Heritage And Values Of Usaf,2026 Spring,1.0,01/07/2026 - 05/07/2026,T 08:30 AM-09:20 AM,Naval Armory-Rm 0006,In Person On Campus Learners,Parsa\Rodriguez,14,AERO,Parsa\Rodriguez,Parsa | Rodriguez,AERO
AERO,202,,1,2091,Leadership Fundamentals II,2026 Spring,1.0,01/07/2026 - 05/07/2026,T 09:30 AM-10:20 AM,Naval Armory-Rm 0006,In Person On Campus Learners,"Parsa,Sameek",17,AERO,"Parsa,Sameek",Sameek Parsa,AERO
AERO,302,,1,17897,Ldrshp & Effective Comm II,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 11:00 AM-12:15 PM,Naval Armory-Rm 0006,In Person On Campus Learners,"Clark,Steven Hosea",18,AERO,"Clark,Steven Hosea",Steven Hosea Clark,AERO
AERO,393,,1,15486,Field Training,2026 Spring,1.0,01/07/2026 - 05/07/2026,,,In Person On Campus Learners,Klekowski\Parsa,4,AERO,Klekowski\Parsa,Klekowski | Parsa,AERO
AERO,500,,401,1391,Leadership Lab,2026 Spring,,01/07/2026 - 05/07/2026,TH 08:30 AM-10:30 AM,Naval Armory-Rm 0101,In Person On Campus Learners,Clark\Parsa,56,AERO,Clark\Parsa,Clark | Parsa,AERO
AHEC,403,,1,14924,Ai Medicine-Wake,2026 Spring,6.0,,,,In Person On Campus Learners,,10,AHEC,,,AHEC
AHEC,403,,1,15841,Ai Medicine-Wake,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,410,,1,14952,"Ai Medicine, Unc Rex",2026 Spring,6.0,,,,In Person On Campus Learners,,999,AHEC,,,AHEC
AHEC,410,,1,15842,"Ai Medicine, Unc Rex",2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,415,,1,15843,Ai Obgn-Wake Medical Center,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,421,,1,15844,Ai Pediatrics-Moses Cone,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,423,,1,15845,Ai Pediatrics-Wake,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,424,,1,15846,Ai Pediatric Hosp Medicine,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,428,,1,14958,Al Ortho Trauma-Cmc,2026 Spring,6.0,,,,In Person On Campus Learners,,999,AHEC,,,AHEC
AHEC,428,,1,15847,Al Ortho Trauma-Cmc,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,436,,1,15848,Ai Inpt. Fam Med-Moses Cone,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,436,,1,16155,Ai Inpt. Fam Med-Moses Cone,2026 Spring,6.0,,,,In Person On Campus + Remote,,999,AHEC,,,AHEC
AHEC,446,,1,14779,"Ai Fam Med, Hendersonville Nc",2026 Spring,6.0,,,,In Person On Campus Learners,,999,AHEC,,,AHEC
AHEC,452,,2,14780,"Ai Inpat Psych, Cmc",2026 Spring,6.0,,,,In Person On Campus Learners,,999,AHEC,,,AHEC
AMST,70,LING 70,1,15717,Fys: Lang In The Usa,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 01:25 PM-02:15 PM,Dey Hall-Rm 0304,In Person On Campus Learners,"Velez Aviles,Jessica",0,AMST,"Velez Aviles,Jessica",Jessica Velez Aviles,AMST
AMST,89,,1,15474,Fys: Special Topics,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Murphey Hall-Rm 0204,In Person On Campus Learners,"Kotch,Seth M.",0,AMST,"Kotch,Seth M.",Seth M Kotch,AMST
AMST,101,,1,7988,"This Place Called ""America""",2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 11:00 AM-12:15 PM,Dey Hall-Rm 0305,In Person On Campus Learners,"Marston,Steven B",1,AMST,"Marston,Steven B",Steven B Marston,AMST
AMST,102,,1,5969,Myth And History In Am. Memory,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 12:20 PM-01:10 PM,Greenlaw Hall-Rm 0302,In Person On Campus Learners,"MARR,TIMOTHY W",5,AMST,"MARR,TIMOTHY W",Timothy W Marr,AMST
AMST,202,,1,6511,Hist Approaches Amer Studies,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 09:05 AM-09:55 AM,Dey Hall-Rm 0313,In Person On Campus Learners,"Hutchinson,Brittany Monique",0,AMST,"Hutchinson,Brittany Monique",Brittany Monique Hutchinson,AMST
AMST,202,,2,14126,Hist Approaches Amer Studies,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 12:20 PM-01:10 PM,Alumni Bldg-Rm 0207,In Person On Campus Learners,"Shaw,Miquell T",15,AMST,"Shaw,Miquell T",Miquell T Shaw,AMST
AMST,210,,1,6689,"This Place Called ""The South""",2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Dey Hall-Rm 0303,In Person On Campus Learners,"Martinez,Amanda Marie",1,AMST,"Martinez,Amanda Marie",Amanda Marie Martinez,AMST
AMST,211,,1,12567,Southern Studies Litcult,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Carolina Hall-Rm 0220,In Person On Campus Learners,"Alexander,Kelly",0,AMST,"Alexander,Kelly",Kelly Alexander,AMST
AMST,220,,1,12568,Animal Studies,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Bingham Hall-Rm 3014,In Person On Campus Learners,"HOLLAND,SHARON PATRICIA",4,AMST,"HOLLAND,SHARON PATRICIA",Sharon Patricia Holland,AMST
AMST,223,,1,15447,Scandals In American Sports,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 09:30 AM-10:45 AM,Mitchell Hall-Rm 0009,In Person On Campus Learners,"Marston,Steven B",0,AMST,"Marston,Steven B",Steven B Marston,AMST
AMST,235,HIST 235,1,5091,Native America 20th C,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Wilson Hall-Rm 0217,In Person On Campus Learners,"Escobar,Raquel Lynn",0,AMST,"Escobar,Raquel Lynn",Raquel Lynn Escobar,AMST
AMST,238,,1,15453,What Is Country Music?,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 09:30 AM-10:45 AM,Alumni Bldg-Rm 0207,In Person On Campus Learners,"Martinez,Amanda Marie",3,AMST,"Martinez,Amanda Marie",Amanda Marie Martinez,AMST
AMST,258,,1,12577,Captivity,2026 Spring,3.0,01/07/2026 - 05/07/2026,MWF 10:10 AM-11:00 AM,Dey Hall-Rm 0313,In Person On Campus Learners,"MARR,TIMOTHY W",0,AMST,"MARR,TIMOTHY W",Timothy W Marr,AMST
AMST,265,,1,6127,The Black Interior,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 09:30 AM-10:45 AM,Dey Hall-Rm 0313,In Person On Campus Learners,"Randolph,Antonia Maria",0,AMST,"Randolph,Antonia Maria",Antonia Maria Randolph,AMST
AMST,268,,1,15452,Amer Cinema And Culture,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 03:30 PM-04:45 PM,Greenlaw Hall-Rm 0318,In Person On Campus Learners,"Royle Jr,Tony Matthew",5,AMST,"Royle Jr,Tony Matthew",Tony Matthew Royle Jr,AMST
AMST,275,,1,15455,Food & American Culture,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Chapman Hall-Rm 0201,In Person On Campus Learners,"Bunschoten,Rebecca Claire",2,AMST,"Bunschoten,Rebecca Claire",Rebecca Claire Bunschoten,AMST
AMST,275,,2,7903,Food & American Culture,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 12:30 PM-01:45 PM,Phillips Hall-Rm 0212,In Person On Campus Learners,"Garrison,Simiyha",1,AMST,"Garrison,Simiyha",Simiyha Garrison,AMST
AMST,287,,1,13301,Intro To Am Legal Ed,2026 Spring,3.0,01/07/2026 - 05/07/2026,TTH 02:00 PM-03:15 PM,Gerrard Hall-Rm 0116,In Person On Campus Learners,"Paduchowski,Michael Robert",0,AMST,"Paduchowski,Michael Robert",Michael Robert Paduchowski,AMST
