Subject,Catalog Number,Same As,Class Section,Class Number,Description,Term,Hours,Meeting Dates,Schedule,Room,Instruction Type,Instructor,Available Seats
AAAD,130,,001,2364,Intro Afri Amer & Diaspora Std,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTTH 06:00 PM-08:35 PM,None,Remote Only - Synchronous,"Porter,Robert S.",999
231,,001,2363,Afri Amer History Since 1865,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTTH 03:15 PM-05:50 PM,None,Remote Only - Synchronous,"Porter,Robert S.",30
AMST,101,,001,2388,"This Place Called ""America""",2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 01:15 PM-02:45 PM,None,Remote Only - Mostly Async,"ROBINSON,MIRIAM MICHELLE",20
275,,001,2387,Food & American Culture,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,Remote Only - All Asynchronous,"Garrison,Simiyha",20
278,,001,2386,Crimes And Punishments,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,Remote Only - All Asynchronous,"Kotch,Seth M.",20
895,,001,1997,Directed Readings,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Kotch,Seth M.",3
900,,001,2215,Directed Studies,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Kotch,Seth M.",5
994,,001,2180,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Berlinger,Gabrielle Anna",2
ANES,225,,001,2017,Career Explor-Anes Unc,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Larson,Claire Kathryn",5
ANTH,102,,001,2359,Cultural Anth,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,Remote Only - All Asynchronous,"RIVKIN-FISH,MICHELE R",20
138,LING 138,001,2464,Linguistic Anthropology,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,None,In Person On Campus Learners,None,8
142,,001,2360,Loc Cultures Glob Forces,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,None,Remote Only - Mostly Async,"Saikia,Parag Jyoti",20
237,,001,2361,"Food, Environ & Sustainability",2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,Remote Only - Mostly Async,"Hardy,Bevin Alexandra",20
238,,001,2362,Human Ecology Of Africa,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,Remote Only - All Asynchronous,"Mansaray,Sehdia Mangaya",20
319,,001,1175,Global Health,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,Remote Only - All Asynchronous,"SORENSEN,MARK V",20
994,,082,2258,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"CHUA,JOCELYN LIM",1
APPL,101,,001,2408,Exploring Engineering,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Peabody Hall-Rm 2060,In Person On Campus Learners,"DOYLE,PATRICK Ray",40
295,,001,1719,Research Applied Physical Sci,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"LU,JIANPING",5
MATH,110,,001,1056,Algebra,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Dey Hall-Rm 0208,In Person On Campus Learners,None,23
115,"BIOL 115, PSYC 115, STOR 115",001,1816,Reasoning With Data,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Hanes Hall-Rm 0120,In Person On Campus Learners,None,20
130,,001,1058,Precalculus Math,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 01:15 PM-02:45 PM,Phillips Hall-Rm 0332,In Person On Campus Learners,"Noonan,John",25
231,,001,1059,Calc Func One Var I,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Phillips Hall-Rm 0224,In Person On Campus Learners,"MCLAUGHLIN,ELIZABETH A",30
,002,2409,Calc Func One Var I,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Phillips Hall-Rm 0228,In Person On Campus Learners,"Noonan,John",25
232,,002,1062,Cal Func One Var II,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Phillips Hall-Rm 0224,In Person On Campus + Remote,"MCLAUGHLIN,ELIZABETH A",30
233,,001,1065,Multi Vari Calc I,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Phillips Hall-Rm 0332,In Person On Campus + Remote,"Compton,Joseph Aaron",30
,002,1066,Multi Vari Calc I,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Phillips Hall-Rm 0332,In Person On Campus Learners,"Compton,Joseph Aaron",25
296,,001,1071,Directed Exploration,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,None,2
,002,2306,Directed Exploration,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,None,2
,018,1899,Directed Exploration,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,None,2
347,,001,1072,Linear Algebra For Appl,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Phillips Hall-Rm 0301,In Person On Campus Learners,"RIMANYI,RICHARD",12
,002,2413,Linear Algebra For Appl,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 01:15 PM-02:45 PM,Phillips Hall-Rm 0224,In Person On Campus Learners,None,25
381,,001,1073,Discrete Math,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Phillips Hall-Rm 0228,In Person On Campus Learners,"McCombs,Mark A.",25
,002,1074,Discrete Math,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Dey Hall-Rm 0204,In Person On Campus Learners,None,25
383,,001,1075,1st Course Diff Equation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Dey Hall-Rm 0205,In Person On Campus Learners,None,25
383L,,401,1076,Differential Equations Lab,2026 Summer II,1.0,06/22/2026 - 07/28/2026,MWF 02:00 PM-03:30 PM,Dey Hall-Rm 0205,In Person On Campus Learners,None,25
521,,001,1077,Advanced Calculus I,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Greenlaw Hall-Rm 526A,In Person On Campus Learners,None,12
992,,050,2282,Master'S (Non-Thesis),2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"MCLAUGHLIN,RICHARD M",5
994,,010,1963,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"GRIFFITH,BOYCE EUGENE",5
,022,1714,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Gregg,Karin Leiderman",5
,051,2281,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"HUANG,JINGFANG",5
,052,1962,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"ROZANSKY,LEV",5
,063,2223,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Stanley,Natalie Mary",5
STOR,113,,001,1809,Decision Models For Busi &Econ,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Hanes Hall-Rm 0125,In Person On Campus Learners,None,46
115,"BIOL 115, MATH 115, PSYC 115",001,1811,Reasoning With Data,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Hanes Hall-Rm 0120,In Person On Campus Learners,None,20
